image_path,compound_id
NATCOM_2019_5_crop0.jpg,1bd
JACS_2022_2_crop1.jpg,3a
JACS_2016_5_crop2.jpg,A'
CCSC_2021_8_crop0.jpg,11
CCSC_2021_2_crop1.jpg,2a
JACS_2020_1_crop0.jpg,1d
NATCOM_2019_4_crop2.jpg,1b
JACS_2020_3_crop1.jpg,(S)-4a
CCSC_2021_4_crop2.jpg,5a
NATCOM_2019_6_crop2.jpg,1c
NATCOM_2019_3_crop0.jpg,M3
angew_2020_2_crop2.jpg,1a
CCSC_2021_5_crop0.jpg,8a
JACS_2020_4_crop3.jpg,(S)-4a
NATCOM_2019_6_crop0.jpg,1a
JACS_2022_4_crop0.jpg,The compound ID is S-3a.
CCSC_2021_1_crop2.jpg,2a
JACS_2020_6_crop2.jpg,5
JACS_2022_4_crop1.jpg,3a
CCSC_2021_3_crop1.jpg,4a
JACS_2020_6_crop1.jpg,6
NATCOM_2019_2_crop0.jpg,MGO
